"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date","feed_version","ingest_year","ingest_month","ingest_day","feed_version_partition"
"1","1","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"2","1","1","1","1","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"5","0","0","0","0","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"6","1","0","0","0","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"7","0","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"9","1","1","0","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"11","0","0","0","0","0","1","0","20220128","20220415","1175","2022","01","31","1175"
"12","0","0","0","0","0","0","1","20220128","20220415","1175","2022","01","31","1175"
"17","0","0","1","0","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"20","0","0","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"21","1","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"23","0","1","0","0","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"24","0","0","0","1","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"26","1","0","0","0","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"27","0","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"28","1","1","1","0","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"31","1","1","1","1","1","0","0","20220128","20220128","1175","2022","01","31","1175"
"43","0","0","1","0","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"44","1","1","0","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"45","1","0","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"48","1","0","0","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"50","0","1","0","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"80","0","0","0","0","0","0","1","20220128","20220415","1175","2022","01","31","1175"
"81","0","0","0","0","0","0","1","20220415","20220415","1175","2022","01","31","1175"
"3001","1","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"3002","0","0","0","0","0","1","0","20220128","20220415","1175","2022","01","31","1175"
"3003","0","0","0","0","0","0","1","20220128","20220415","1175","2022","01","31","1175"
"4002","0","0","0","0","0","1","0","20220128","20220415","1175","2022","01","31","1175"
"4501","1","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"4502","0","0","0","0","0","1","0","20220128","20220415","1175","2022","01","31","1175"
"4503","0","0","0","0","0","0","1","20220128","20220415","1175","2022","01","31","1175"
"4506","0","0","0","0","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"4509","1","1","1","1","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"4601","1","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"4602","0","0","0","0","0","1","0","20220128","20220415","1175","2022","01","31","1175"
"4603","0","0","0","0","0","0","1","20220128","20220415","1175","2022","01","31","1175"
"5201","1","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5202","0","0","0","0","0","1","0","20220128","20220415","1175","2022","01","31","1175"
"5212","0","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5214","1","0","0","0","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"5301","1","1","1","1","1","0","0","20220408","20220408","1175","2022","01","31","1175"
"5302","0","0","0","0","0","1","0","20220423","20220423","1175","2022","01","31","1175"
"5501","1","1","1","1","1","0","0","20220128","20220128","1175","2022","01","31","1175"
"5506","0","0","0","0","1","0","0","20220128","20220128","1175","2022","01","31","1175"
"5509","1","1","1","1","0","0","0","20220128","20220128","1175","2022","01","31","1175"
"5513","1","0","1","1","1","0","0","20220128","20220128","1175","2022","01","31","1175"
"5515","0","1","0","0","0","0","0","20220128","20220128","1175","2022","01","31","1175"
"5532","1","0","1","1","0","0","0","20220128","20220128","1175","2022","01","31","1175"
"5601","1","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5602","0","0","0","0","0","1","0","20220128","20220415","1175","2022","01","31","1175"
"5603","0","0","0","0","0","0","1","20220128","20220415","1175","2022","01","31","1175"
"5604","0","0","1","0","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"5605","0","0","0","1","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"5606","0","0","0","0","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5607","1","1","0","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5608","1","1","1","0","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5609","1","1","1","1","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"5612","0","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5613","1","0","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5614","1","0","0","0","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"5615","0","1","0","0","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"5616","1","1","0","0","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5618","1","1","0","1","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"5625","0","1","0","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5626","0","0","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5627","1","0","0","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5628","0","0","0","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5629","1","0","1","0","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"5633","0","1","1","0","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"5636","0","1","1","1","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"6001","1","1","1","1","1","0","0","20220128","20220128","1175","2022","01","31","1175"
"6002","0","0","0","0","0","1","0","20220128","20220129","1175","2022","01","31","1175"
"6003","0","0","0","0","0","0","1","20220128","20220130","1175","2022","01","31","1175"
"8501","1","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"8502","0","0","0","0","0","1","0","20220128","20220415","1175","2022","01","31","1175"
"8503","0","0","0","0","0","0","1","20220128","20220415","1175","2022","01","31","1175"
"8601","1","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"8602","0","0","0","0","0","1","0","20220128","20220415","1175","2022","01","31","1175"
"8603","0","0","0","0","0","0","1","20220128","20220415","1175","2022","01","31","1175"
"8605","0","0","0","1","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"8608","1","1","1","0","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"8801","1","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"9401","1","1","1","1","1","0","0","20220415","20220415","1175","2022","01","31","1175"
"9402","0","0","0","0","0","1","0","20220415","20220415","1175","2022","01","31","1175"
"9403","0","0","0","0","0","0","1","20220415","20220415","1175","2022","01","31","1175"
"9801","1","1","1","1","1","0","0","20220128","20220128","1175","2022","01","31","1175"
"9901","1","1","1","1","1","0","0","20220128","20220415","1175","2022","01","31","1175"
"9905","0","0","0","1","0","0","0","20220128","20220415","1175","2022","01","31","1175"
"9908","1","1","1","0","1","0","0","20220128","20220415","1175","2022","01","31","1175"
