"op","dms_update_ts","routeid","ordernumber","linkid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"U","2022-01-20 23:19:24.007000","222","0","3813","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:19:24.007000","222","1","3814","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:19:24.007000","222","2","1397","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:19:24.007000","222","3","1395","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:19:24.007000","222","4","942","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:19:24.007000","222","5","940","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:19:24.007000","222","6","936","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:19:24.007000","222","7","934","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:19:24.007000","222","8","263","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:19:24.007000","222","9","463","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:19:24.007000","222","10","1859","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:19:24.007000","222","11","1861","dbo","BTRouteLinks","09","2022","01","21"
"I","2022-01-20 23:19:24.007000","222","12","459","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:21:52.523000","199","3","3815","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:21:52.523000","199","4","3812","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:21:52.523000","199","5","2753","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:21:52.523000","199","6","2755","dbo","BTRouteLinks","09","2022","01","21"
"I","2022-01-20 23:21:52.523000","199","7","2757","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:22:26.027000","314","3","3815","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:22:26.027000","314","4","3812","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:22:26.027000","314","5","2753","dbo","BTRouteLinks","09","2022","01","21"
"I","2022-01-20 23:22:26.027000","314","6","2755","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:18:20.727000","220","0","3813","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:18:20.727000","220","1","3814","dbo","BTRouteLinks","09","2022","01","21"
"I","2022-01-20 23:18:20.727000","220","2","1397","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:18:42.597000","221","0","3813","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:18:42.597000","221","1","3814","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:18:42.597000","221","2","1397","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:18:42.597000","221","3","1395","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:18:42.597000","221","4","942","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:18:42.597000","221","5","940","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:18:42.597000","221","6","936","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:18:42.597000","221","7","934","dbo","BTRouteLinks","09","2022","01","21"
"I","2022-01-20 23:18:42.597000","221","8","263","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","2","3824","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","3","3827","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","4","1819","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","5","2896","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","6","2894","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","7","1813","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","8","1811","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","9","1809","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","10","2912","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","11","2910","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","12","1803","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","13","1797","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","14","1795","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","15","1825","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","16","1831","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","17","1107","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","18","1875","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","19","1873","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","20","1526","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","21","1642","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","22","1640","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","23","1865","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","24","1863","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","25","1853","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","26","1855","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","27","1329","dbo","BTRouteLinks","09","2022","01","21"
"U","2022-01-20 23:14:52.513000","46","28","1305","dbo","BTRouteLinks","09","2022","01","21"
"I","2022-01-20 23:14:52.513000","46","29","1303","dbo","BTRouteLinks","09","2022","01","21"
